Compliance Name:,HIPAA Compliance,Description,"The Health Insurance Portability and Accountability Act (HIPAA) sets the standard for sensitive patient data protection. Companies that deal with protected health information (PHI) must have physical, network, and process security measures in place and follow them to ensure HIPAA Compliance",,,
Standard,Control Set,Associated Standard,Control Number,Controls,Type,Control Options
A.5,HIPAA Security Rule,,,,,
A.5.1,Technical Safeguards,,,,,
A.5.1.1,Access Control,A.5.1,1,Does you have access to UIN for identifying and tracking users?,YesOrNo,
,,,2,Does emergency access procedure can be established for obtaining necessary ePHI during an emergency,YesOrNo,
,,,3,Does automatic Logoff electronic procedures are implemented?,YesOrNo,
,,,4,Does encryption and decryption mechanism can be implemented?,YesOrNo,
A.5.1.2,Audit Controls,A.5.1,1,"Does audit controls mechanisms like software, hardware can record the activities in information system?",YesOrNo,
A.5..1.3,Integrity ,A.5.1,1,Is there any mechanism to authenticate ePHI ?,YesOrNo,
A.5.1.4,Authentication ,A.5.1,1,Are there any procedures to verify that a person or entity seeking access to ePHI is the one is claimed?,YesOrNo,
A.5.1.5,Transmission Security,A.5.1,1,Are there security measures to ensure that electronically transmitted ePHI is not properly modified without detection?,,
,,,2,Is there any mechanism to encrypt ePHI whenever deemed appropriate?,YesOrNo,
A.5.2,Physical Safeguards Checklists,A.5,,,,
A.5.2.1,Facility Access Controls,A.5.2,1,Are there any contigency operations procedures that allow faciility access in support of restoration of lost data?,YesOrNo,
,,,2,Are there any facility security policies and procedures to safeguard the facility and equipment therein from unauthorized physical address ?,YesOrNo,
,,,3,"Does access control and validation procedures, implement procedures to control and validate a person access to facilities based on their role or function ?",YesOrNo,
,,,4,Are the documents related to policies and procedures are maintained properly ad records?,YesOrNo,
A.5.2.2,Workstation Use,A.5.2,1,Are the policies and procedures that specify proper functions to be performed are implemented?,YesOrNo,
A.5.2.3,Workstation security ,A.5.2,1,"Does the implementation of physical safeguards for all workstations that access ePHI, to restrict access authorized users?",YesOrNo,
A.5.2.4,Device and Media  Controls ,A.5.2,1,"Are there any implementation of policies and procedures to address the final dispostion of ePHI, and/or the hardware or electronic media on which it is stored?",YesOrNo,
,,,2,Are there any implementation procedures for removal of ePHI from electronic media before the media are made available for re-use?,YesOrNo,
,,,3,Are there any maintainance of hardware and electronic media?,YesOrNo,
,,,4,Does the company do Data Backup and storage ?,YesOrNo,
A.5.3,Administrative Safeguards,,,,,
A.5.3.1,Security Management Process,A.5.3,1,Does it perform and document a risk analysis to see where PHI is being used?,YesOrNo,
,,,2,Does the organization implement sufficient measures to reduce these risks to an appropriate level,YesOrNo,
,,,3,Does the organization implement sanction policies for employees who fail to comply,YesOrNo,
,,,4,"Does the organization review the IS activity reviews like activity logs, audits etc?",YesOrNo,
A.5.3.2,Assigned Security Responsibility,A.5.3,1,Does the organizations have roles like HIPAA security & Privacy officers?,YesOrNo,
A.5.3.3,Workforce Security,A.5.3,1,Does the organizations implement procedures to authorize and supervise employees?,YesOrNo,
A.5.3.4,Information Access Management,A.5.3,1,"Does the Parent, Partner or the contractor are restricted from accessing PHI?",YesOrNo,
,,,2,Does the organization implement procedures for granting access to ePHI that document access to ePHI ,YesOrNo,
A.5.3.5,Security Awareness and Training ,A.5.3,2,Does the system send periodic updates and updates about security and privacy policies to employees,YesOrNo,
,,,2,"Does the organization have procedures for guarding against, detecting and reporting malicious software",YesOrNo,
,,,3,Does the organizations institute monitoring of logins to systems and reporting of discrepancies,YesOrNo,
,,,4,"Does the organizations have procedures for creating, changing and protecting passwords?",YesOrNo,
A.5.3.6,Security Incident Procedures ,A.5.3,1,Does the organization response and report?,,
A.5.3.7,Contigency Plan ,A.5.3,1,Does the organization maintain a backup of all PHI records?,YesOrNo,
A.5.3.8,Evaluations ,A.5.3,1,Does the organizations perform periodic evaluations to check for the changes in the business for your HIPAA compliance procedures?,YesOrNo,
A.5.3.9,Business Associate Agreements & Contracts,A.5.3,1,Does the organization have special agreements with partners to grant access to PHI?,YesOrNo,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
